feature,importance
sentiment_score,0.4580992217545322
description_embed_16,0.05372502341001791
caption_embed_3,0.029503265765584943
description_embed_19,0.029040549097241426
description_embed_21,0.02194455132708176
description_embed_23,0.02072130863819774
description_embed_15,0.016007356770458028
tags_embed_5,0.015735317560210998
tags_embed_19,0.012903331676148199
tags_embed_16,0.012250395448565808
description_embed_9,0.011375099297633027
description_embed_12,0.011353024920993446
description_embed_14,0.01035770570684452
description_embed_28,0.008982589242603572
description_embed_13,0.008729228658025173
tags_embed_14,0.008640769123758305
description_embed_10,0.008221525902392193
tags_embed_9,0.007980921338425158
description_embed_22,0.007740894863779333
description_embed_8,0.007330189385057392
description_embed_6,0.00723120965750272
description_embed_2,0.006477777219671781
description_embed_11,0.006443089936900731
tags_embed_8,0.0059020868718367234
tags_embed_3,0.005467947160105718
title_embed_13,0.0048977196809205205
duration_seconds,0.004802557568883591
tags_embed_17,0.0046928111083715425
log_duration,0.004630893457403134
title_embed_15,0.004511371062851834
description_embed_25,0.004361774993347185
title_embed_27,0.004180819475124886
description_embed_0,0.004177236287258688
description_embed_24,0.004089342186859922
tags_embed_4,0.004075715508344908
caption_embed_13,0.003953552903457788
description_embed_29,0.00394231871635254
description_embed_18,0.003940782460012489
title_embed_4,0.003725990433124098
title_length,0.0037086724246214917
title_caps_ratio,0.0036664321134011317
tags_embed_10,0.0034689300213956503
description_embed_4,0.0033892245410040316
description_embed_20,0.0032824726022473378
thumb_text_embed_5,0.003176772005998804
tags_embed_6,0.0031754544109281516
tags_embed_13,0.0031619135333029007
title_embed_23,0.003104198912087955
title_embed_7,0.003064011973070297
title_embed_25,0.0030129163888810186
description_embed_7,0.002977866096061725
title_embed_24,0.002843482830653728
warm_cool,0.002706885294411656
tags_embed_2,0.002612350103754203
face_area_percentage,0.0026061573939767
title_embed_20,0.0025944360713321766
title_embed_14,0.002572816246115262
tags_embed_1,0.002530478649540302
description_embed_1,0.0025208594679946377
description_embed_26,0.002510609389529049
title_embed_5,0.002474022188809785
title_embed_8,0.0023753791890374206
title_embed_1,0.0023573456447904613
title_embed_29,0.0023271026215202838
title_embed_17,0.002304742466737875
title_embed_26,0.0022798390821093008
title_embed_19,0.002237174148035205
title_embed_18,0.0021860906089077262
title_embed_9,0.002183592470896029
description_embed_3,0.00211290034703339
tags_embed_12,0.0020920728314274693
title_embed_16,0.002090179900998517
title_embed_22,0.0020804865900954307
avg_b,0.0020543496004889676
thumb_text_embed_6,0.0020165638245630436
title_embed_0,0.001967965243828444
tags_embed_15,0.0019285839548635452
title_embed_6,0.0018745828186082978
title_embed_10,0.0018607398274972304
title_embed_11,0.0017878059959142278
tags_embed_11,0.00178729106229539
avg_r,0.00177234446036727
tags_embed_18,0.0017608363565580181
title_embed_2,0.0017176206317196859
title_embed_12,0.0017145885208828602
description_embed_17,0.0017112884909859108
description_embed_27,0.001683384167875057
title_word_count,0.0016706184312915338
tags_embed_7,0.0015395221854773058
saturation,0.0014898219580519096
title_embed_3,0.0014447669694592521
caption_embed_1,0.0013692368671093054
title_embed_28,0.001335335326535396
tags_embed_0,0.0013346375618257223
caption_embed_10,0.0012427461745425754
description_embed_5,0.0011861239299990835
caption_embed_17,0.001154178837007006
avg_g,0.0011538862100765456
title_embed_21,0.0011440957460860917
thumb_text_embed_2,0.0011179461540141158
caption_embed_4,0.0009826456372304423
caption_embed_12,0.0009315096631176596
thumb_text_embed_8,0.0007966518810598872
thumb_text_embed_4,0.0007942713983226607
caption_embed_11,0.0007757425513032902
caption_embed_6,0.0007399489610160267
thumb_text_embed_7,0.0006477907367828081
brightness,0.0006283927212824209
caption_embed_8,0.0005863903023764867
caption_embed_2,0.0005640725955102857
thumb_text_embed_11,0.0005328448586478167
caption_embed_14,0.0005118811073584202
thumb_text_embed_10,0.0004668447463767465
caption_embed_9,0.00045478212552017887
caption_embed_16,0.00043720050768058155
thumb_text_embed_12,0.000433932368515242
thumb_text_embed_0,0.00037134597206410226
thumb_text_embed_9,0.00036797493932224425
thumb_text_embed_3,0.00036760049776664126
thumb_text_embed_1,0.0003143185504278053
caption_embed_0,0.00027338753455710967
caption_embed_15,0.0002487990888943994
thumb_text_embed_13,0.0002452394277340418
caption_embed_5,0.00018135251027470093
thumb_text_embed_14,0.00017790559917139703
caption_embed_18,0.00015555167451760418
caption_embed_19,0.00011636084970952894
caption_embed_7,0.0001014717550515696
title_has_numbers,3.7792993895109795e-05
genre_unknown,0.0
